Team,Conference,GP,SoS,rSoS,WIN%,eWIN%,pWIN%
Atlanta,East,52,0.43,-1.44,0.481,0.478,0.47
Boston,East,51,-2.05,1.04,0.647,0.693,0.74
Brooklyn,East,49,0.62,-0.71,0.265,0.335,0.243
Charlotte,East,51,0.2,0.19,0.451,0.541,0.559
Chicago,East,51,-0.62,0.95,0.471,0.416,0.401
Cleveland,East,52,-0.8,-1.12,0.596,0.603,0.622
Dallas,West,50,-0.57,0.9,0.38,0.403,0.411
Denver,West,52,-2.06,1.57,0.635,0.619,0.628
Detroit,East,49,-2.06,0.16,0.755,0.711,0.75
Golden State,West,51,-0.49,0.45,0.529,0.553,0.572
Houston,West,49,-1.42,-0.37,0.633,0.654,0.678
Indiana,East,51,1.46,-0.15,0.255,0.289,0.243
LA Clippers,West,50,0.82,-0.67,0.46,0.482,0.474
LA Lakers,West,49,-0.57,0.69,0.612,0.505,0.503
Memphis,West,49,0.63,0.05,0.408,0.452,0.444
Miami,East,52,0.81,-1.83,0.519,0.547,0.563
Milwaukee,East,49,-0.07,-0.22,0.408,0.392,0.368
Minnesota,West,52,-0.87,0.47,0.615,0.627,0.658
New Orleans,West,53,1.8,-0.5,0.245,0.299,0.286
New York,East,51,-1.16,0.42,0.647,0.642,0.701
Oklahoma City,West,52,-1.92,1.02,0.769,0.783,0.905
Orlando,East,49,0.16,-1.34,0.51,0.475,0.47
Philadelphia,East,50,-0.87,0.06,0.58,0.547,0.549
Phoenix,West,51,0.56,0.54,0.608,0.562,0.582
Portland,West,51,2.02,-1.78,0.451,0.414,0.408
Sacramento,West,52,2.98,-1.65,0.231,0.236,0.171
San Antonio,West,50,0.54,0.41,0.68,0.669,0.668
Toronto,East,52,-0.78,-0.27,0.577,0.536,0.543
Utah,West,51,1.86,-0.49,0.314,0.296,0.217
Washington,East,49,0.68,0.24,0.265,0.254,0.148
